"Date","AAPL","AMZN","BA","BABA","BP","BTC-USD","CL","CVX","DIA","DOGE-USD","ETH-USD","F","GD","GLD","GM","GOLD","GOOGL","HAL","IWM","JD","JNJ","KO","LLY","LMT","META","MRK","MSFT","NIO","NOC","PALL","PDD","PEP","PFE","PG","PPLT","QQQ","RIVN","RTX","SLB","SLV","SPY","TCEHY","TSLA","UL","UNH","VTI","XOM"
"2021-11-10","145.53601074219","174.10249328613","218.5","158.35346984863","23.772361755371","64995.23046875","72.670700073242","100.475730896","339.94879150391","0.25570899248123","4636.1743164062","15.77788734436","187.56623840332","173.14999389648","57.777793884277","18.690542221069","145.36654663086","22.563640594482","227.16104125977","72.621292114258","149.60314941406","51.423725128174","256.02383422852","309.57354736328","326.39321899414","76.350036621094","321.84881591797","39.549999237061","343.81582641602","187.94999694824","86.51000213623","149.47790527344","42.801074981689","136.32272338867","99.699996948242","381.25170898438","100.73000335693","83.402847290039","30.731740951538","22.870000839233","442.14376831055","57.535133361816","355.98333740234","47.601272583008","439.02172851562","228.25733947754","57.733020782471"
"2021-11-11","145.48678588867","173.625","219.38000488281","162.1005859375","23.763694763184","64949.9609375","72.216957092285","100.48454284668","338.4328918457","0.26116698980331","4730.3842773438","15.932732582092","185.4793548584","174.11999511719","60.263591766357","18.864112854004","145.23999023438","22.459482192993","228.98899841309","78.655937194824","148.50119018555","51.441848754883","254.06980895996","307.97814941406","326.49282836914","76.359115600586","323.43466186523","42.200000762939","341.76489257812","192.49000549316","92.870002746582","148.24772644043","43.813907623291","135.93276977539","101.48000335693","382.30883789062","122.98999786377","82.357765197754","30.778680801392","23.35000038147","442.28677368164","58.111972808838","354.50332641602","47.142955780029","436.6257019043","228.53352355957","57.84094619751"
"2021-11-12","147.57264709473","176.25750732422","220.96000671387","161.09619140625","23.737684249878","64155.94140625","72.253997802734","100.54613494873","340.14654541016","0.25941398739815","4667.115234375","15.891980171204","187.23081970215","174.44999694824","61.803813934326","18.955463409424","148.14097595215","22.317451477051","229.21870422363","80.290718078613","150.27709960938","51.323993682861","252.00248718262","310.88467407227","339.5927734375","76.340934753418","327.60864257812","42.669998168945","341.48944091797","197.0299987793","95","148.21127319336","43.421009063721","136.08131408691","100.95999908447","386.33184814453","129.94999694824","82.18204498291","30.759902954102","23.420000076294","445.62463378906","58.335269927979","344.47332763672","47.142955780029","438.15301513672","230.22868347168","57.400241851807"
"2021-11-13","147.57264709473","176.25750732422","220.96000671387","161.09619140625","23.737684249878","64469.52734375","72.253997802734","100.54613494873","340.14654541016","0.26170599460602","4651.4604492188","15.891980171204","187.23081970215","174.44999694824","61.803813934326","18.955463409424","148.14097595215","22.317451477051","229.21870422363","80.290718078613","150.27709960938","51.323993682861","252.00248718262","310.88467407227","339.5927734375","76.340934753418","327.60864257812","42.669998168945","341.48944091797","197.0299987793","95","148.21127319336","43.421009063721","136.08131408691","100.95999908447","386.33184814453","129.94999694824","82.18204498291","30.759902954102","23.420000076294","445.62463378906","58.335269927979","344.47332763672","47.142955780029","438.15301513672","230.22868347168","57.400241851807"
"2021-11-14","147.57264709473","176.25750732422","220.96000671387","161.09619140625","23.737684249878","65466.83984375","72.253997802734","100.54613494873","340.14654541016","0.26291200518608","4626.3588867188","15.891980171204","187.23081970215","174.44999694824","61.803813934326","18.955463409424","148.14097595215","22.317451477051","229.21870422363","80.290718078613","150.27709960938","51.323993682861","252.00248718262","310.88467407227","339.5927734375","76.340934753418","327.60864257812","42.669998168945","341.48944091797","197.0299987793","95","148.21127319336","43.421009063721","136.08131408691","100.95999908447","386.33184814453","129.94999694824","82.18204498291","30.759902954102","23.420000076294","445.62463378906","58.335269927979","344.47332763672","47.142955780029","438.15301513672","230.22868347168","57.400241851807"
"2021-11-15","147.58250427246","177.28399658203","233.08999633789","160.83543395996","23.885068893433","63557.87109375","72.504020690918","102.82587432861","340.10879516602","0.25652900338173","4557.50390625","16.185373306274","187.32403564453","174.17999267578","61.384632110596","19.092493057251","147.91580200195","22.156490325928","228.30949401855","79.048294067383","148.92013549805","51.333053588867","250.81845092773","312.59014892578","346.23739624023","76.059211730957","326.97616577148","40.569999694824","341.82180786133","201.41999816895","91.370002746582","149.2592010498","43.351146697998","136.86123657227","101.54000091553","386.24365234375","149.36000061035","82.635215759277","30.722354888916","23.239999771118","445.77722167969","58.139888763428","337.79666137695","47.017147064209","430.33483886719","230.22868347168","57.894916534424"
"2021-11-16","148.56637573242","177.03500366211","225.80000305176","162.66069030762","23.989103317261","60161.24609375","72.115097045898","103.23076629639","340.75839233398","0.23724900186062","4216.365234375","16.128326416016","185.15330505371","172.91999816895","61.033706665039","18.818441390991","147.34188842773","22.355331420898","228.7306060791","80.085205078125","148.14604187012","50.970401763916","250.12934875488","312.08581542969","341.65490722656","76.44091796875","330.32308959961","40.669998168945","336.69451904297","200.86000061035","93.959999084473","148.81268310547","43.307495117188","136.6662902832","99","388.99411010742","172.00999450684","82.219039916992","30.881977081299","22.959999084473","447.54156494141","60.121612548828","351.57666015625","46.738563537598","429.20843505859","231.21908569336","58.479522705078"
"2021-11-17","151.01623535156","177.44999694824","226.61999511719","156.0453338623","23.781030654907","60368.01171875","71.837310791016","102.76776885986","338.80004882812","0.23748700320721","4287.59375","16.266870498657","185.82409667969","174.5","62.98335647583","19.174711227417","147.51225280762","21.749338150024","225.73501586914","77.675079345703","148.70155334473","50.689350128174","253.48742675781","313.57116699219","339.47320556641","75.068603515625","330.54727172852","39.669998168945","336.08679199219","204.66999816895","89.769996643066","148.86734008789","44.416370391846","136.58270263672","98.959999084473","389.19958496094","146.07000732422","80.87801361084","30.102645874023","23.170000076294","446.4543762207","59.758762359619","363.00332641602","46.522895812988","428.56887817383","230.26679992676","57.84094619751"
"2021-11-18","155.32565307617","184.80299377441","227.25","138.6812286377","23.659658432007","56942.13671875","70.735389709473","101.90409088135","338.32940673828","0.22138300538063","4000.6508789062","16.021142959595","184.4638671875","173.94000244141","60.760753631592","18.781894683838","149.29730224609","21.5505027771","224.77792358398","82.299156188965","147.9001159668","50.236045837402","253.63301086426","313.65377807617","337.40115356445","75.477584838867","332.64282226562","38.409999847412","333.67514038086","198.53999328613","85.080001831055","148.91290283203","44.887866973877","136.6012878418","97.800003051758","393.23223876953","123.37999725342","80.850090026855","29.914855957031","22.959999084473","447.97061157227","58.05615234375","365.45999145508","46.118503570557","429.06524658203","230.62864685059","57.211360931396"
"2021-11-19","157.96246337891","183.82850646973","214.13000488281","135.53286743164","22.74066734314","58119.578125","71.485443115234","99.642539978027","335.74557495117","0.23310999572277","4298.306640625","15.881903648376","182.88943481445","172.61000061035","60.244091033936","18.498708724976","148.38858032227","20.868764877319","222.72978210449","85.521995544434","148.3464050293","49.982189178467","253.02163696289","313.06698608398","343.98599243164","73.341835021973","334.43630981445","38.659999847412","335.29876708984","191.80999755859","81.870002746582","149.26831054688","44.355251312256","136.32272338867","96.080001831055","395.42477416992","128.60000610352","79.473281860352","28.215362548828","22.75","447.16958618164","58.800457000732","379.01998901367","46.244312286377","420.02517700195","229.97155761719","54.567100524902"
